c_name	c_eyecolor	c_haircolor	c_skintone	c_skintype	c_skinconcerns	c_age
bhaktisahoo	brown	black	olive	combination	unevenSkinTones	over54
beautybearxo	brown	black	medium	combination	acne	NA
essence09	green	black	medium	combination	blackheads	NA
JerBuzz	blue	black	medium	combination	blackheads	NA
Meaghan223	blue	brunette	porcelain	combination	acne	NA
BritneyToepfer	blue	brunette	light	combination	acne	NA
Shahinoor123	brown	black	medium	combination	aging	NA
Astrochemist	brown	black	light	combination	aging	25to34
riskybizzxoxo	NA	NA	NA	NA	NA	NA
jamie0000	blue	blonde	medium	combination	acne	NA
Bai86895	brown	blonde	medium	normal	NA	NA
Darbacious	blue	blonde	light	combination	aging	NA
alweig37	green	black	tan	combination	aging	NA
riaboo	NA	NA	fair	combination	NA	NA
Knytlee	blue	black	fair	oily	acne	NA
abarber	NA	brunette	light	combination	acne	NA
anuqn	brown	black	porcelain	combination	acne	NA
alexlunamarie	brown	blonde	fair	combination	NA	18to24
KyleeNicole	brown	brunette	medium	normal	aging	NA
nataliemiii	NA	black	medium	dry	dullness	NA
ImSoShanC	blue	blonde	medium	normal	cellulite	NA
KristinHill3rd	hazel	brunette	medium	oily	acne	NA
Mad11	green	blonde	medium	combination	blackheads	NA
Vicnic1418	brown	brunette	medium	combination	acne	NA
Hannnnah12	green	brunette	olive	dry	darkCircles	NA
kittyxt	brown	black	light	combination	acne	NA
funkygirl	brown	brunette	medium	dry	aging	NA
OliviaL3158	brown	brunette	light	combination	blackheads	NA
ojm717	brown	brunette	medium	combination	acne	NA
Katiimichelle	brown	black	medium	normal	acne	NA
aislinn101	blue	blonde	porcelain	dry	aging	NA
tabernathy	green	brunette	medium	combination	acne	NA
Carolinex099	green	brunette	medium	normal	sensitivity	NA
dianajrich	green	black	medium	combination	acne	NA
xoangelies	blue	black	tan	normal	darkCircles	35to44
ASM94	blue	blonde	light	dry	acne	NA
stefaniestax	blue	black	light	combination	calluses	NA
KaleighErin18	brown	blonde	fair	combination	acne	NA
samoriarty	hazel	brunette	fair	combination	acne	NA
conniecanxx	brown	brunette	light	combination	aging	NA
Emberry1105	green	blonde	light	combination	acne	NA
NOneRouge	blue	blonde	fair	normal	cuticles	NA
suechai3	brown	black	medium	combination	NA	35to44
TiffanySch	brown	blonde	light	oily	acne	NA
miraaldini	brown	brunette	light	combination	acne	NA
LexiLou05	green	blonde	porcelain	combination	acne	NA
chertieu	brown	black	light	combination	acne	NA
Vikkibowlsb	blue	brunette	fair	combination	redness	NA
AbbieJoAnn	green	blonde	fair	dry	darkCircles	NA
sarbear59	brown	brunette	fair	combination	NA	NA
nancyyng	brown	black	medium	dry	darkCircles	NA
smilingaway	brown	black	light	oily	acne	NA
jada25	brown	brunette	light	combination	blackheads	NA
Pdosch	blue	blonde	medium	combination	blackheads	NA
Marlaynajulie	green	black	medium	combination	NA	NA
KatieJ11	brown	brunette	light	combination	acne	NA
Preeea	brown	brunette	medium	oily	acne	NA
mascaragirl2222	green	blonde	fair	oily	aging	NA
jyll1971	green	blonde	fair	normal	aging	NA
rylea	brown	black	tan	combination	aging	18to24
RectalNurseJess	blue	blonde	medium	normal	aging	NA
lmaster	blue	brunette	light	combination	aging	NA
SammiBeth	NA	NA	olive	combination	NA	NA
AnnekeG	hazel	blonde	olive	combination	acne	NA
ENCamp	NA	NA	NA	NA	NA	NA
kaydoge	brown	brunette	tan	oily	acne	NA
MITHSUR	brown	brunette	fair	normal	aging	NA
amygberry	NA	NA	NA	combination	NA	35to44
vasw	brown	brunette	tan	dry	aging	NA
mcc8	brown	black	tan	combination	aging	NA
Niks40	NA	NA	NA	combination	NA	35to44
Kittenchan	brown	red	tan	combination	acne	NA
Rainax	brown	brunette	medium	combination	dullness	NA
MonicaCarlo	brown	brunette	olive	combination	aging	NA
disulfidebond	green	brunette	fair	dry	dullness	NA
MiamiMolly	green	blonde	fair	combination	acne	NA
nbhime	brown	auburn	porcelain	combination	acne	NA
beabea3	green	blonde	fair	combination	acne	NA
laurenohh	brown	blonde	medium	combination	aging	NA
ttbell	hazel	brunette	tan	combination	aging	NA
BostonPRGirl	blue	blonde	light	oily	aging	NA
mahamSiddique	brown	black	medium	dry	acne	NA
BostonBeauty87	brown	brunette	medium	normal	aging	NA
Chenoadove	blue	blonde	porcelain	combination	acne	NA
Chelsea3981	brown	black	porcelain	dry	darkCircles	25to34
HolH	blue	blonde	light	dry	aging	NA
Ysiad81	brown	blonde	fair	combination	aging	NA
KirBlushing	blue	blonde	light	oily	acne	NA
Amandaziv	NA	NA	NA	dry	NA	18to24
viannasloves	NA	NA	NA	NA	NA	NA
ZTWD	blue	blonde	light	normal	acne	35to44
SHY93	brown	blonde	tan	normal	NA	NA
RebeccaSand	NA	NA	NA	combination	NA	45to54
fmagxhappy	NA	NA	NA	NA	NA	NA
MarleyFluty	NA	NA	NA	NA	NA	NA
beautylovertam	NA	NA	NA	NA	NA	NA
aspahr	NA	NA	NA	NA	NA	NA
OakKnoll	NA	NA	NA	oily	NA	25to34
1cappy4	NA	NA	NA	dry	NA	over54
ambyd	green	brunette	medium	dry	aging	18to24
Jen283	NA	NA	NA	dry	NA	25to34
jannisss	brown	brunette	light	combination	sensitivity	18to24
facesaver4ever	hazel	brunette	light	dry	aging	45to54
Nicholeeee	NA	NA	NA	combination	NA	25to34
laurawalker	NA	NA	NA	NA	NA	NA
DrVixen	hazel	brunette	medium	normal	dullness	18to24
Moosh24	NA	NA	NA	NA	NA	NA
futureslp81	NA	NA	NA	NA	NA	NA
4mc44	NA	NA	NA	NA	NA	NA
MSACK	NA	NA	NA	NA	NA	NA
lehcar1986	NA	NA	NA	NA	NA	NA
aureo	green	brunette	light	dry	aging	45to54
boww	brown	NA	medium	NA	sensitivity	NA
BDPetersen	NA	NA	NA	dry	NA	25to34
MakeupcaddyPami	NA	NA	NA	NA	NA	NA
llsimon	NA	NA	NA	oily	NA	25to34
missy0518	NA	NA	NA	NA	NA	NA
kenziie3	green	brunette	light	normal	NA	NA
lovelya	brown	black	medium	combination	acne	NA
Ashley1000	blue	blonde	light	combination	acne	NA
flyicarus	brown	brunette	fair	combination	acne	18to24
NathaliaMA123	NA	NA	NA	combination	NA	25to34
Ambition1193	brown	black	dark	combination	cuticles	NA
Charlottewhisky	NA	NA	NA	oily	acne	NA
JJ0918	NA	NA	NA	NA	NA	NA
KateMN	brown	black	fair	dry	acne	NA
megluvsmakeup	NA	NA	NA	NA	NA	NA
daye	brown	brunette	tan	combination	aging	NA
awkwardtree	NA	NA	NA	normal	NA	25to34
MiniChak	brown	brunette	medium	combination	aging	NA
CrissyClemente	brown	brunette	porcelain	dry	redness	NA
luxlotus	NA	NA	NA	NA	NA	NA
Sooshmoo	hazel	brunette	light	dry	aging	NA
recomposed	brown	brunette	fair	combination	NA	25to34
GabrielleMarina	blue	blonde	fair	normal	NA	NA
DanikaMarieJ	blue	blonde	tan	combination	aging	NA
nespille	hazel	brunette	light	combination	acne	NA
atorres08	hazel	brunette	medium	oily	cellulite	NA
Ceceliams	brown	brunette	porcelain	combination	acne	NA
Carlyjulia	brown	blonde	fair	dry	acne	NA
TVArtist	green	brunette	tan	combination	sensitivity	18to24
