c_name	c_eyecolor	c_haircolor	c_skintone	c_skintype	c_skinconcerns	c_age
KatieJ11	brown	brunette	light	combination	acne	None
SamanthaGeri	brown	black	tan	oily	acne	None
Livprince	blue	blonde	porcelain	combination	acne	None
AbbyB97	blue	brunette	porcelain	combination	acne	None
jasmineyin	brown	black	medium	normal	acne	None
Charmizzlee	brown	blonde	tan	oily	acne	None
JessPace	blue	brunette	porcelain	dry	darkCircles	None
sweetbabyray	hazel	blonde	porcelain	dry	pores	None
Ashscout20	blue	blonde	medium	normal	acne	None
bhaktisahoo	brown	black	olive	combination	unevenSkinTones	over54
beautybearxo	brown	black	medium	combination	acne	None
Calilulu	brown	brunette	medium	combination	acne	None
JerBuzz	blue	black	medium	combination	blackheads	None
essence09	green	black	medium	combination	blackheads	None
Meaghan223	blue	brunette	porcelain	combination	acne	None
BritneyToepfer	blue	brunette	light	combination	acne	None
Shahinoor123	brown	black	medium	combination	aging	None
DanikaMarieJ	blue	blonde	tan	combination	aging	None
nespille	hazel	brunette	light	combination	acne	None
mariavel	hazel	brunette	medium	combination	acne	None
Carlyjulia	brown	blonde	fair	dry	acne	None
TVArtist	green	brunette	tan	combination	sensitivity	18to24
EmmaMarC	blue	blonde	light	combination	acne	None
Janicemaynard	blue	brunette	tan	normal	acne	None
Kaylacordero420	brown	brunette	light	combination	darkCircles	None
aprima	hazel	blonde	medium	dry	cellulite	None
jennakats	brown	brunette	medium	combination	blackheads	None
riskybizzxoxo	None	None	None	None	None	None
jamie0000	blue	blonde	medium	combination	acne	None
Bai86895	brown	blonde	medium	normal	None	None
Darbacious	blue	blonde	light	combination	aging	None
alweig37	green	black	tan	combination	aging	None
riaboo	None	None	fair	combination	None	None
Knytlee	blue	black	fair	oily	acne	None
atorres08	hazel	brunette	medium	oily	cellulite	None
Ceceliams	brown	brunette	porcelain	combination	acne	None
anuqn	brown	black	porcelain	combination	acne	None
alexlunamarie	brown	blonde	fair	combination	None	18to24
KyleeNicole	brown	brunette	medium	normal	aging	None
KristinHill3rd	hazel	brunette	medium	oily	acne	None
Vicnic1418	brown	brunette	medium	combination	acne	None
Mad11	green	blonde	medium	combination	blackheads	None
Hannnnah12	green	brunette	olive	dry	darkCircles	None
kittyxt	brown	black	light	combination	acne	None
Astrochemist	brown	black	light	combination	aging	25to34
IzzyHill	green	black	light	normal	acne	None
graciemo	brown	black	light	dry	blackheads	None
Mombod	brown	blonde	olive	combination	acne	None
indieanna	green	red	fair	combination	acne	None
Niki013	green	brunette	fair	dry	acne	None
ARavenMaiden	brown	black	dark	combination	acne	None
azsunny	green	brunette	light	combination	blackheads	over54
GTinSD	brown	brunette	medium	normal	None	None
halfstack	None	None	olive	combination	acne	25to34
BrittLehr	green	blonde	light	combination	aging	None
DianaVio	blue	brunette	fair	combination	None	25to34
Msjaybrit	brown	black	ebony	dry	None	None
ohchelsea	hazel	brunette	porcelain	combination	blackheads	None
abbiebee	brown	brunette	porcelain	dry	None	18to24
Theapauline	hazel	brunette	porcelain	dry	None	18to24
Lindsay3159	brown	blonde	medium	oily	acne	None
hdsn2016	brown	black	tan	normal	acne	None
